Node,superkingdom,kingdom,phylum
2762511, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
249248, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
1234261, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
41880, Eukaryota , Viridiplantae , Chlorophyta 
544730, Eukaryota , Viridiplantae , Streptophyta 
4787, Eukaryota , Other, Oomycota 
561572, Eukaryota , Metazoa , Arthropoda 
561572, Eukaryota , Metazoa , Arthropoda 
4787, Eukaryota , Other, Oomycota 
118357, Eukaryota , Viridiplantae , Streptophyta 
7454, Eukaryota , Metazoa , Arthropoda 
30213, Eukaryota , Metazoa , Arthropoda 
118357, Eukaryota , Viridiplantae , Streptophyta 
354439, Eukaryota , Metazoa , Arthropoda 
362788, Eukaryota , Viridiplantae , Streptophyta 
362788, Eukaryota , Viridiplantae , Streptophyta 
1010633, Eukaryota , Viridiplantae , Streptophyta 
1010633, Eukaryota , Viridiplantae , Streptophyta 
1010633, Eukaryota , Viridiplantae , Streptophyta 
13715, Eukaryota , Viridiplantae , Streptophyta 
13715, Eukaryota , Viridiplantae , Streptophyta 
13715, Eukaryota , Viridiplantae , Streptophyta 
13715, Eukaryota , Viridiplantae , Streptophyta 
1010633, Eukaryota , Viridiplantae , Streptophyta 
