Node,superkingdom,kingdom
42514, Eukaryota , Metazoa 
303518, Eukaryota , Metazoa 
303518, Eukaryota , Metazoa 
41447, Eukaryota , Metazoa 
41447, Eukaryota , Metazoa 
1841481, Eukaryota , Metazoa 
1841481, Eukaryota , Metazoa 
144197, Eukaryota , Metazoa 
32473, Eukaryota , Metazoa 
32473, Eukaryota , Metazoa 
32473, Eukaryota , Metazoa 
32473, Eukaryota , Metazoa 
8083, Eukaryota , Metazoa 
8083, Eukaryota , Metazoa 
4565, Eukaryota , Viridiplantae 
4565, Eukaryota , Viridiplantae 
4565, Eukaryota , Viridiplantae 
40147, Eukaryota , Metazoa 
4577, Eukaryota , Viridiplantae 
44316, Eukaryota , Metazoa 
333673, Eukaryota , Metazoa 
46731, Eukaryota , Metazoa 
2249418, Eukaryota , Fungi 
10195, Eukaryota , Metazoa 
3712, Eukaryota , Viridiplantae 
3712, Eukaryota , Viridiplantae 
42156, Eukaryota , Metazoa 
40348, Eukaryota , Metazoa 
42155, Eukaryota , Metazoa 
8154, Eukaryota , Metazoa 
8154, Eukaryota , Metazoa 
161767, Eukaryota , Metazoa 
244447, Eukaryota , Metazoa 
244447, Eukaryota , Metazoa 
244447, Eukaryota , Metazoa 
8010, Eukaryota , Metazoa 
8010, Eukaryota , Metazoa 
8010, Eukaryota , Metazoa 
106582, Eukaryota , Metazoa 
106582, Eukaryota , Metazoa 
8090, Eukaryota , Metazoa 
8090, Eukaryota , Metazoa 
8090, Eukaryota , Metazoa 
8081, Eukaryota , Metazoa 
1868482, Eukaryota , Metazoa 
38654, Eukaryota , Metazoa 
6183, Eukaryota , Metazoa 
61819, Eukaryota , Metazoa 
61819, Eukaryota , Metazoa 
80972, Eukaryota , Metazoa 
80966, Eukaryota , Metazoa 
80966, Eukaryota , Metazoa 
80966, Eukaryota , Metazoa 
64144, Eukaryota , Metazoa 
9913, Eukaryota , Metazoa 
9913, Eukaryota , Metazoa 
28743, Eukaryota , Metazoa 
8078, Eukaryota , Metazoa 
8078, Eukaryota , Metazoa 
109280, Eukaryota , Metazoa 
109280, Eukaryota , Metazoa 
8153, Eukaryota , Metazoa 
56723, Eukaryota , Metazoa 
56723, Eukaryota , Metazoa 
37003, Eukaryota , Metazoa 
205130, Eukaryota , Metazoa 
205130, Eukaryota , Metazoa 
205130, Eukaryota , Metazoa 
56723, Eukaryota , Metazoa 
43700, Eukaryota , Metazoa 
205130, Eukaryota , Metazoa 
94237, Eukaryota , Metazoa 
32507, Eukaryota , Metazoa 
32507, Eukaryota , Metazoa 
4081, Eukaryota , Viridiplantae 
34884, Eukaryota , Metazoa 
9627, Eukaryota , Metazoa 
9627, Eukaryota , Metazoa 
9627, Eukaryota , Metazoa 
9627, Eukaryota , Metazoa 
112090, Eukaryota , Other
188477, Eukaryota , Metazoa 
75743, Eukaryota , Metazoa 
137246, Eukaryota , Metazoa 
6689, Eukaryota , Metazoa 
89804, Eukaryota , Metazoa 
1245748, Eukaryota , Fungi 
123683, Eukaryota , Metazoa 
212818, Eukaryota , Fungi 
9925, Eukaryota , Metazoa 
9925, Eukaryota , Metazoa 
38772, Eukaryota , Metazoa 
9643, Eukaryota , Metazoa 
307972, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
195883, Eukaryota , Metazoa 
7232, Eukaryota , Metazoa 
8167, Eukaryota , Metazoa 
191816, Eukaryota , Metazoa 
191816, Eukaryota , Metazoa 
191816, Eukaryota , Metazoa 
191816, Eukaryota , Metazoa 
9606, Eukaryota , Metazoa 
3750, Eukaryota , Viridiplantae 
3750, Eukaryota , Viridiplantae 
84645, Eukaryota , Metazoa 
6277, Eukaryota , Metazoa 
151549, Eukaryota , Metazoa 
6945, Eukaryota , Metazoa 
55544, Eukaryota , Metazoa 
6192, Eukaryota , Metazoa 
6279, Eukaryota , Metazoa 
300112, Eukaryota , Metazoa 
147828, Eukaryota , Metazoa 
147828, Eukaryota , Metazoa 
167371, Eukaryota , Fungi 
245174, Eukaryota , Fungi 
245174, Eukaryota , Fungi 
1708541, Eukaryota , Fungi 
331657, Eukaryota , Fungi 
331657, Eukaryota , Fungi 
40151, Eukaryota , Metazoa 
34508, Eukaryota , Metazoa 
240159, Eukaryota , Metazoa 
240159, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
