Node,superkingdom,kingdom,phylum
409849, Eukaryota , Metazoa , Chordata 
42514, Eukaryota , Metazoa , Chordata 
303518, Eukaryota , Metazoa , Chordata 
303518, Eukaryota , Metazoa , Chordata 
41447, Eukaryota , Metazoa , Chordata 
41447, Eukaryota , Metazoa , Chordata 
1841481, Eukaryota , Metazoa , Chordata 
1841481, Eukaryota , Metazoa , Chordata 
144197, Eukaryota , Metazoa , Chordata 
32473, Eukaryota , Metazoa , Chordata 
32473, Eukaryota , Metazoa , Chordata 
32473, Eukaryota , Metazoa , Chordata 
32473, Eukaryota , Metazoa , Chordata 
8083, Eukaryota , Metazoa , Chordata 
8083, Eukaryota , Metazoa , Chordata 
4565, Eukaryota , Viridiplantae , Streptophyta 
4565, Eukaryota , Viridiplantae , Streptophyta 
4565, Eukaryota , Viridiplantae , Streptophyta 
40147, Eukaryota , Metazoa , Chordata 
4577, Eukaryota , Viridiplantae , Streptophyta 
44316, Eukaryota , Metazoa , Chordata 
333673, Eukaryota , Metazoa , Chordata 
46731, Eukaryota , Metazoa , Cnidaria 
2249418, Eukaryota , Fungi , Ascomycota 
10195, Eukaryota , Metazoa , Rotifera 
3712, Eukaryota , Viridiplantae , Streptophyta 
3712, Eukaryota , Viridiplantae , Streptophyta 
42156, Eukaryota , Metazoa , Nematoda 
40348, Eukaryota , Metazoa , Nematoda 
42155, Eukaryota , Metazoa , Nematoda 
8154, Eukaryota , Metazoa , Chordata 
8154, Eukaryota , Metazoa , Chordata 
161767, Eukaryota , Metazoa , Chordata 
244447, Eukaryota , Metazoa , Chordata 
244447, Eukaryota , Metazoa , Chordata 
244447, Eukaryota , Metazoa , Chordata 
8010, Eukaryota , Metazoa , Chordata 
8010, Eukaryota , Metazoa , Chordata 
8010, Eukaryota , Metazoa , Chordata 
106582, Eukaryota , Metazoa , Chordata 
106582, Eukaryota , Metazoa , Chordata 
8090, Eukaryota , Metazoa , Chordata 
8090, Eukaryota , Metazoa , Chordata 
8090, Eukaryota , Metazoa , Chordata 
8081, Eukaryota , Metazoa , Chordata 
1868482, Eukaryota , Metazoa , Chordata 
38654, Eukaryota , Metazoa , Chordata 
6183, Eukaryota , Metazoa , Platyhelminthes 
61819, Eukaryota , Metazoa , Chordata 
61819, Eukaryota , Metazoa , Chordata 
80972, Eukaryota , Metazoa , Chordata 
80966, Eukaryota , Metazoa , Chordata 
80966, Eukaryota , Metazoa , Chordata 
80966, Eukaryota , Metazoa , Chordata 
64144, Eukaryota , Metazoa , Chordata 
9913, Eukaryota , Metazoa , Chordata 
9913, Eukaryota , Metazoa , Chordata 
28743, Eukaryota , Metazoa , Chordata 
8078, Eukaryota , Metazoa , Chordata 
8078, Eukaryota , Metazoa , Chordata 
109280, Eukaryota , Metazoa , Chordata 
109280, Eukaryota , Metazoa , Chordata 
8153, Eukaryota , Metazoa , Chordata 
56723, Eukaryota , Metazoa , Chordata 
56723, Eukaryota , Metazoa , Chordata 
37003, Eukaryota , Metazoa , Chordata 
205130, Eukaryota , Metazoa , Chordata 
205130, Eukaryota , Metazoa , Chordata 
205130, Eukaryota , Metazoa , Chordata 
56723, Eukaryota , Metazoa , Chordata 
43700, Eukaryota , Metazoa , Chordata 
205130, Eukaryota , Metazoa , Chordata 
94237, Eukaryota , Metazoa , Chordata 
32507, Eukaryota , Metazoa , Chordata 
32507, Eukaryota , Metazoa , Chordata 
4081, Eukaryota , Viridiplantae , Streptophyta 
34884, Eukaryota , Metazoa , Chordata 
9627, Eukaryota , Metazoa , Chordata 
9627, Eukaryota , Metazoa , Chordata 
9627, Eukaryota , Metazoa , Chordata 
9627, Eukaryota , Metazoa , Chordata 
