Node,superkingdom,kingdom,phylum
59894, Eukaryota , Metazoa , Chordata 
59894, Eukaryota , Metazoa , Chordata 
59894, Eukaryota , Metazoa , Chordata 
59894, Eukaryota , Metazoa , Chordata 
59894, Eukaryota , Metazoa , Chordata 
9103, Eukaryota , Metazoa , Chordata 
9103, Eukaryota , Metazoa , Chordata 
9103, Eukaryota , Metazoa , Chordata 
9103, Eukaryota , Metazoa , Chordata 
214687, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
6326, Eukaryota , Metazoa , Nematoda 
465554, Eukaryota , Metazoa , Nematoda 
465554, Eukaryota , Metazoa , Nematoda 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
7213, Eukaryota , Metazoa , Arthropoda 
7213, Eukaryota , Metazoa , Arthropoda 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
34880, Eukaryota , Metazoa , Chordata 
158019, Eukaryota , Metazoa , Mollusca 
158019, Eukaryota , Metazoa , Mollusca 
158019, Eukaryota , Metazoa , Mollusca 
878477, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
631055, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
631055, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
1628268, Eukaryota , Other, Other
631055, Eukaryota , Other, Other
1628268, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
631055, Eukaryota , Other, Other
1628268, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
1628268, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
