Node,"['Kingdom', 'N', 'C']"
243159,"['B', 'Acidithiobacillus', '']"
380394,"['B', 'Acidithiobacillus', '']"
525,"['B', 'Acidocella', '']"
525909,"['B', 'Acidimicrobium', '']"
905,"['B', 'Acidaminococcus', '']"
1232575,"['B', 'Acidithiobacillus', '']"
920,"['B', 'Acidithiobacillus', '']"
41871,"['E', 'Acipenser', 'Lake']"
591001,"['B', 'Acidaminococcus', '']"
72607,"['B', 'Acinetobacter', '']"
2597225,"['B', 'Acididesulfobacter', '']"
106646,"['B', 'Acinetobacter', '']"
106649,"['B', 'Acinetobacter', '']"
474,"['B', 'Acinetobacter', '']"
7902,"['E', 'Acipenser', 'Russian']"
29430,"['B', 'Acinetobacter', '']"
933801,"['A', 'Acidianus', '']"
12915,"['A', 'Acidianus', '']"
568816,"['B', 'Acidaminococcus', '']"
32536,"['E', 'Acinonyx', 'Cheetah']"
40214,"['B', 'Acinetobacter', '']"
40215,"['B', 'Acinetobacter', '']"
28090,"['B', 'Acinetobacter', '']"
926570,"['B', 'Acidiphilium', '']"
7908,"['E', 'Acipenser', 'Green']"
61966,"['E', 'Acipenser', 'Sakhalin']"
437,"['B', 'Acidomonas', '']"
62140,"['B', 'Acidiphilium', '']"
42330,"['E', 'Acipenser', 'Adriatic']"
106654,"['B', 'Acinetobacter', '']"
61967,"['E', 'Acipenser', 'Fringebarbel']"
33999,"['B', 'Acidiphilium', '']"
36177,"['E', 'Acipenser', 'Atlantic']"
342762,"['E', 'Acisoma', 'Trumpet']"
61968,"['E', 'Acipenser', 'Persian']"
48296,"['B', 'Acinetobacter', '']"
40216,"['B', 'Acinetobacter', '']"
7906,"['E', 'Acipenser', 'Sterlet']"
526,"['B', 'Acidiphilium', '']"
673860,"['A', 'Aciduliprofundum', '']"
1071056,"['A', 'Acidianus', '']"
525244,"['B', 'Acinetobacter', '']"
666510,"['A', 'Acidilobus', '']"
710648,"['B', 'Acinetobacter', '']"
68992,"['B', 'Acinetobacter', '']"
68995,"['B', 'Acinetobacter', '']"
68996,"['B', 'Acinetobacter', '']"
72569,"['B', 'Acinetobacter', '']"
1111120,"['B', 'Acidaminococcus', '']"
111304,"['E', 'Acipenser', 'Amur']"
436717,"['B', 'Acinetobacter', '']"
194927,"['B', 'Acinetobacter', '']"
61970,"['E', 'Acipenser', 'Chinese']"
232721,"['B', 'Acidovorax', '']"
107768,"['E', 'Acilius', 'Lesser']"
472,"['B', 'Acinetobacter', '']"
68994,"['B', 'Acinetobacter', '']"
135835,"['B', 'Acinetobacter', '']"
7903,"['E', 'Acipenser', 'Sevruga']"
61674,"['E', 'Acipenser', 'Atlantic']"
930,"['B', 'Acidithiobacillus', '']"
7904,"['E', 'Acipenser', 'White']"
121830,"['E', 'Acizzia', 'Acacia']"
1191460,"['B', 'Acinetobacter', '']"
328639,"['E', 'Acipenser', 'Bester']"
714756,"['E', 'Aclytia', 'Moth']"
73472,"['V', 'Apple', 'ACLSV']"
73473,"['V', 'Apple', 'ACLSV']"
100151,"['E', 'Acmispon', 'American']"
119162,"['E', 'Acmaea', 'Whitecap']"
217838,"['E', 'Acmella', 'Creeping']"
263995,"['E', 'Acorus', 'Sweetflag']"
1086103,"['E', 'Acosmeryx', 'Hawk']"
10068,"['E', 'Acomys', 'Cairo']"
219331,"['E', 'Acossus', 'Poplar']"
4465,"['E', 'Acorus', 'Sweet']"
85363,"['E', 'Aconitum', ""Carmichael's""]"
662772,"['E', 'Aconitum', 'Korean']"
980951,"['E', 'Acontias', ""Cregoe's""]"
55184,"['E', 'Acorus', 'Dwarf']"
60745,"['E', 'Acomys', 'Fiery']"
764543,"['E', 'Acontias', 'Striped']"
753144,"['E', 'Acontia', 'Pale']"
156899,"['E', 'Acontias', 'Cape']"
83528,"['E', 'Acomys', 'Crete']"
112591,"['E', 'Aconitum', 'Monkshood']"
156900,"['E', 'Acontias', ""Linnaeus'""]"
156902,"['E', 'Acontias', ""Percival's""]"
83527,"['E', 'Acomys', ""Percival's""]"
980958,"['E', 'Acontias', 'Wood-bush']"
60746,"['E', 'Acomys', 'Golden']"
357125,"['E', 'Acontias', 'Striped']"
37436,"['E', 'Acomys', ""Wilson's""]"
292681,"['E', 'Acoelorraphe', 'Everglades']"
43715,"['E', 'Acronychia', 'Lemon']"
169987,"['E', 'Acrocomia', 'Macaw']"
140238,"['E', 'Acropora', 'Staghorn']"
